"","office","n","lon.y","lat.y"
"1","ALBANY",5293,-73.7562317,42.6525793
"2","ALBUQUERQUE",1372,-106.650422,35.0843859
"3","ALEXANDRIA",3452,-77.0469214,38.8048355
"4","ANCHORAGE",1320,-149.9002778,61.2180556
"5","ATLANTA",7180,-84.3879824,33.7489954
"6","AUSTIN",2824,-97.7430608,30.267153
"7","BALTIMORE",4865,-76.6121893,39.2903848
"8","BOISE",17424,-116.2023137,43.6150186
"9","BOSTON",4381,-71.0588801,42.3600825
"10","BUFFALO",8424,-78.8783689,42.8864468
"11","CEDAR RAPIDS",5388,-91.6656232,41.9778795
"12","CENTRAL ISLIP",5354,-73.2017811,40.7906538
"13","CHARLESTON",2204,-81.6326234,38.3498195
"14","CHATTANOOGA",6114,-85.3096801,35.0456297
"15","CHEYENNE",7624,-104.8202462,41.1399814
"16","CHICAGO",7845,-87.6297982,41.8781136
"17","CINCINNATI",7654,-84.5120196,39.1031182
"18","CLEVELAND",56905,-81.6943605,41.49932
"19","COLUMBIA",3759,-81.0348144,34.0007104
"20","COLUMBUS",26877,-82.9987942,39.9611755
"21","CONCORD",1669,-71.5375718,43.2081366
"22","CORPUS CHRISTI",578,-97.396381,27.8005828
"23","DALLAS",5421,-96.7969879,32.7766642
"24","DENVER",47799,-104.990251,39.7392358
"25","DES MOINES",8947,-93.6249593,41.5868353
"26","DETROIT",17417,-83.0457538,42.331427
"27","EUGENE",11395,-123.0867536,44.0520691
"28","FRESNO",6179,-119.7871247,36.7377981
"29","GRAND RAPIDS",12487,-85.6680863,42.9633599
"30","GREAT FALLS",11374,-111.3007715,47.5052849
"31","GREENBELT",2806,-76.8755282,39.0045544
"32","GUAM",2,144.793731,13.444304
"33","HARRISBURG",2953,-76.8867008,40.2731911
"34","HONOLULU",1221,-157.8583333,21.3069444
"35","HOUSTON",4652,-95.3698028,29.7604267
"36","INDIANAPOLIS",31222,-86.158068,39.768403
"37","JACKSON",4172,-90.1848103,32.2987573
"38","KANSAS CITY",15785,-94.5785667,39.0997265
"39","LAS VEGAS",23833,-115.1398296,36.1699412
"40","LEXINGTON",6158,-84.5037164,38.0405837
"41","LITTLE ROCK",4151,-92.2895948,34.7464809
"42","LOS ANGELES",5339,-118.2436849,34.0522342
"43","LOUISVILLE",5805,-85.7584557,38.2526647
"44","MACON",1628,-83.6324022,32.8406946
"45","MADISON",4779,-89.4012302,43.0730517
"46","MEMPHIS",1939,-90.0489801,35.1495343
"47","MIAMI",27902,-80.1917902,25.7616798
"48","MILWAUKEE",4648,-87.9064736,43.0389025
"49","MINNEAPOLIS",23091,-93.2650108,44.977753
"50","NASHVILLE",3410,-86.7816016,36.1626638
"51","NEW HAVEN",5541,-72.9278835,41.308274
"52","NEW ORLEANS",19759,-90.0715323,29.9510658
"53","NEW YORK",8509,-74.0059728,40.7127753
"54","NEWARK",9718,-74.1723667,40.735657
"55","NORFOLK",3334,-76.2858726,36.8507689
"56","OAKLAND",2592,-122.2711639,37.8043514
"57","OKLAHOMA CITY",9984,-97.5164276,35.4675602
"58","OMAHA",3308,-95.9345034,41.2565369
"59","ORLANDO",40605,-81.3792365,28.5383355
"60","PEORIA",14249,-89.5889864,40.6936488
"61","PHILADELPHIA",2238,-75.1652215,39.9525839
"62","PHOENIX",73484,-112.0740373,33.4483771
"63","PITTSBURGH",4268,-79.9958864,40.4406248
"64","PORTLAND",17237,-70.2568189,43.6590993
"65","PORTLAND",17237,-122.6750261,45.5051064
"66","PROVIDENCE",1132,-71.4128343,41.8239891
"67","RENO",8903,-119.8138027,39.5296329
"68","RICHMOND",2059,-77.4360481,37.5407246
"69","RIVERSIDE",4327,-117.3754942,33.9806005
"70","ROANOKE",3527,-79.9414266,37.2709704
"71","ROCHESTER",6977,-77.6088465,43.1565779
"72","SACRAMENTO",11199,-121.4943996,38.5815719
"73","SALT LAKE CITY",25650,-111.8910474,40.7607793
"74","SAN ANTONIO",2289,-98.4936282,29.4241219
"75","SAN DIEGO",3047,-117.1610838,32.715738
"76","SAN FRANCISCO",2714,-122.4194155,37.7749295
"77","SAN JOSE",1690,-121.8863286,37.3382082
"78","SAN JUAN",2095,-66.1144115,18.4639382
"79","SANTA ANA",2144,-117.867653,33.7454725
"80","SAVANNAH",1433,-81.091203,32.0808989
"81","SEATTLE",9396,-122.3320708,47.6062095
"82","SHREVEPORT",11693,-93.7501789,32.5251516
"83","SIOUX FALLS",7044,-96.728333,43.5473028
"84","SOUTH BEND",27977,-86.2519898,41.6763545
"85","SPOKANE",1633,-117.4260465,47.6587802
"86","ST. LOUIS",9306,-90.1994042,38.6270025
"87","TALLAHASSEE",11560,-84.2807329,30.4382559
"88","TAMPA",41969,-82.4571776,27.950575
"89","TULSA",5337,-95.992775,36.1539816
"90","TYLER",4150,-95.3010624,32.3512601
"91","UTICA",4453,-75.232664,43.100903
"92","WICHITA",28836,-97.330053,37.6871761
"93","WILMINGTON",793,-75.5483909,39.744655
"94","WOODLAND HILLS",2707,-118.6089752,34.165357
"95","WORCESTER",3604,-71.8022934,42.2625932
